E0603 10:12:55.239575    1230 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
E0603 10:12:55.252190    1187 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
algo=seac (per-agent A2C, seac_coef=0.0, use_rnn=False)
env=rware-tiny-4ag  parallel_envs=10 time_limit=500  updates=1000  (steps/update=5000)  seed=2
run-dir=runs/seac_fc_lam0_seed2  chunk=100 updates/save
  upd  214 | return    0.100 | deliv   0.10 | blocked 35.3% | idle  1.2% | ent 0.811
  upd  215 | return    0.400 | deliv   0.40 | blocked 34.8% | idle  1.4% | ent 0.819
  upd  216 | return    0.200 | deliv   0.20 | blocked 34.4% | idle  1.4% | ent 0.819
  upd  217 | return    0.100 | deliv   0.10 | blocked 34.1% | idle  1.6% | ent 0.828
  upd  218 | return    0.100 | deliv   0.10 | blocked 35.4% | idle  1.6% | ent 0.823
  upd  219 | return    0.800 | deliv   0.80 | blocked 34.5% | idle  1.5% | ent 0.836
  upd  220 | return    0.100 | deliv   0.10 | blocked 34.6% | idle  1.5% | ent 0.815
  upd  221 | return    0.000 | deliv   0.00 | blocked 37.0% | idle  1.5% | ent 0.820
  upd  222 | return    0.000 | deliv   0.00 | blocked 37.5% | idle  1.7% | ent 0.803
  upd  223 | return    0.000 | deliv   0.00 | blocked 36.6% | idle  1.8% | ent 0.819
  upd  224 | return    0.200 | deliv   0.20 | blocked 38.0% | idle  1.5% | ent 0.812
  upd  225 | return    0.100 | deliv   0.10 | blocked 38.9% | idle  1.6% | ent 0.806
  upd  226 | return    0.200 | deliv   0.20 | blocked 36.6% | idle  1.8% | ent 0.819
  upd  227 | return    0.200 | deliv   0.20 | blocked 39.5% | idle  1.4% | ent 0.802
  upd  228 | return    0.000 | deliv   0.00 | blocked 40.3% | idle  1.9% | ent 0.803
  upd  229 | return    0.300 | deliv   0.30 | blocked 38.6% | idle  1.7% | ent 0.804
  upd  230 | return    0.100 | deliv   0.10 | blocked 39.2% | idle  1.7% | ent 0.788
  upd  231 | return    0.200 | deliv   0.20 | blocked 39.9% | idle  1.9% | ent 0.789
  upd  232 | return    0.100 | deliv   0.10 | blocked 40.0% | idle  1.9% | ent 0.793
  upd  233 | return    0.400 | deliv   0.40 | blocked 39.3% | idle  1.8% | ent 0.802
  upd  234 | return    0.200 | deliv   0.20 | blocked 39.4% | idle  2.0% | ent 0.809
  upd  235 | return    0.000 | deliv   0.00 | blocked 43.0% | idle  1.8% | ent 0.776
  upd  236 | return    0.200 | deliv   0.20 | blocked 40.2% | idle  2.0% | ent 0.779
  upd  237 | return    0.200 | deliv   0.20 | blocked 41.6% | idle  2.1% | ent 0.785
  upd  238 | return    0.100 | deliv   0.10 | blocked 43.3% | idle  1.8% | ent 0.770
  upd  239 | return    0.200 | deliv   0.20 | blocked 43.5% | idle  1.9% | ent 0.768
  upd  240 | return    0.200 | deliv   0.20 | blocked 42.0% | idle  1.9% | ent 0.772
  upd  241 | return    0.500 | deliv   0.50 | blocked 42.2% | idle  2.1% | ent 0.777
  upd  242 | return    0.200 | deliv   0.20 | blocked 44.5% | idle  2.1% | ent 0.762
  upd  243 | return    0.300 | deliv   0.30 | blocked 42.5% | idle  2.2% | ent 0.760
  upd  244 | return    0.100 | deliv   0.10 | blocked 44.8% | idle  1.9% | ent 0.753
  upd  245 | return    0.200 | deliv   0.20 | blocked 43.5% | idle  2.3% | ent 0.766
  upd  246 | return    0.200 | deliv   0.20 | blocked 43.3% | idle  2.3% | ent 0.772
  upd  247 | return    0.500 | deliv   0.50 | blocked 47.5% | idle  2.0% | ent 0.736
  upd  248 | return    0.200 | deliv   0.20 | blocked 43.4% | idle  2.3% | ent 0.764
  upd  249 | return    0.200 | deliv   0.20 | blocked 45.4% | idle  2.2% | ent 0.760
  upd  250 | return    0.200 | deliv   0.20 | blocked 45.2% | idle  2.2% | ent 0.758
  upd  251 | return    0.100 | deliv   0.10 | blocked 44.9% | idle  2.4% | ent 0.762
  upd  252 | return    0.100 | deliv   0.10 | blocked 43.5% | idle  2.0% | ent 0.761
  upd  253 | return    0.100 | deliv   0.10 | blocked 42.7% | idle  2.1% | ent 0.784
  upd  254 | return    0.100 | deliv   0.10 | blocked 44.6% | idle  2.3% | ent 0.775
  upd  255 | return    0.100 | deliv   0.10 | blocked 42.5% | idle  2.5% | ent 0.804
  upd  256 | return    0.400 | deliv   0.40 | blocked 38.4% | idle  2.7% | ent 0.830
  upd  257 | return    0.100 | deliv   0.10 | blocked 38.3% | idle  2.5% | ent 0.832
  upd  258 | return    0.200 | deliv   0.20 | blocked 39.7% | idle  2.4% | ent 0.807
  upd  259 | return    0.100 | deliv   0.10 | blocked 38.3% | idle  2.5% | ent 0.819
  upd  260 | return    0.300 | deliv   0.30 | blocked 36.3% | idle  2.6% | ent 0.823
  upd  261 | return    0.400 | deliv   0.40 | blocked 37.2% | idle  2.4% | ent 0.818
  upd  262 | return    0.200 | deliv   0.20 | blocked 35.3% | idle  2.6% | ent 0.818
  upd  263 | return    0.300 | deliv   0.30 | blocked 36.1% | idle  2.3% | ent 0.797
