E0603 10:10:58.511479     450 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
E0603 10:10:58.529362     401 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
algo=seac (per-agent A2C, seac_coef=1.0, use_rnn=False)
env=rware-tiny-4ag  parallel_envs=10 time_limit=500  updates=1000  (steps/update=5000)  seed=2
run-dir=runs/seac_fc_lam1_seed2  chunk=100 updates/save
  upd  218 | return    0.100 | deliv   0.10 | blocked 34.7% | idle  1.7% | ent 0.569
  upd  219 | return    0.100 | deliv   0.10 | blocked 34.2% | idle  1.5% | ent 0.572
  upd  220 | return    0.300 | deliv   0.30 | blocked 35.5% | idle  1.3% | ent 0.521
  upd  221 | return    0.000 | deliv   0.00 | blocked 34.8% | idle  1.4% | ent 0.572
  upd  222 | return    0.000 | deliv   0.00 | blocked 37.0% | idle  1.5% | ent 0.551
  upd  223 | return    0.200 | deliv   0.20 | blocked 38.0% | idle  1.4% | ent 0.557
  upd  224 | return    0.100 | deliv   0.10 | blocked 36.4% | idle  1.2% | ent 0.521
  upd  225 | return    0.000 | deliv   0.00 | blocked 37.8% | idle  1.4% | ent 0.545
  upd  226 | return    0.000 | deliv   0.00 | blocked 38.4% | idle  1.3% | ent 0.537
  upd  227 | return    0.100 | deliv   0.10 | blocked 37.9% | idle  1.3% | ent 0.561
  upd  228 | return    0.000 | deliv   0.00 | blocked 39.0% | idle  1.3% | ent 0.546
  upd  229 | return    0.000 | deliv   0.00 | blocked 39.0% | idle  1.2% | ent 0.552
  upd  230 | return    0.000 | deliv   0.00 | blocked 38.1% | idle  1.3% | ent 0.571
  upd  231 | return    0.100 | deliv   0.10 | blocked 34.5% | idle  1.3% | ent 0.569
  upd  232 | return    0.000 | deliv   0.00 | blocked 38.0% | idle  1.3% | ent 0.593
  upd  233 | return    0.000 | deliv   0.00 | blocked 37.2% | idle  1.0% | ent 0.588
  upd  234 | return    0.000 | deliv   0.00 | blocked 34.4% | idle  1.4% | ent 0.606
  upd  235 | return    0.100 | deliv   0.10 | blocked 34.2% | idle  1.3% | ent 0.625
  upd  236 | return    0.100 | deliv   0.10 | blocked 34.0% | idle  1.4% | ent 0.645
  upd  237 | return    0.100 | deliv   0.10 | blocked 33.0% | idle  1.4% | ent 0.666
  upd  238 | return    0.000 | deliv   0.00 | blocked 31.2% | idle  1.3% | ent 0.718
  upd  239 | return    0.000 | deliv   0.00 | blocked 31.7% | idle  1.3% | ent 0.645
  upd  240 | return    0.100 | deliv   0.10 | blocked 32.0% | idle  1.3% | ent 0.699
  upd  241 | return    0.000 | deliv   0.00 | blocked 31.8% | idle  1.2% | ent 0.693
  upd  242 | return    0.000 | deliv   0.00 | blocked 32.5% | idle  1.5% | ent 0.745
  upd  243 | return    0.100 | deliv   0.10 | blocked 33.2% | idle  1.4% | ent 0.707
  upd  244 | return    0.000 | deliv   0.00 | blocked 31.2% | idle  1.3% | ent 0.728
  upd  245 | return    0.000 | deliv   0.00 | blocked 31.7% | idle  1.4% | ent 0.738
  upd  246 | return    0.100 | deliv   0.10 | blocked 31.0% | idle  1.3% | ent 0.723
  upd  247 | return    0.000 | deliv   0.00 | blocked 32.5% | idle  1.1% | ent 0.716
  upd  248 | return    0.100 | deliv   0.10 | blocked 33.6% | idle  1.2% | ent 0.746
  upd  249 | return    0.200 | deliv   0.20 | blocked 31.5% | idle  1.1% | ent 0.731
  upd  250 | return    0.200 | deliv   0.20 | blocked 31.3% | idle  1.2% | ent 0.737
  upd  251 | return    0.200 | deliv   0.20 | blocked 26.4% | idle  1.2% | ent 0.739
  upd  252 | return    0.100 | deliv   0.10 | blocked 25.6% | idle  1.1% | ent 0.736
  upd  253 | return    0.100 | deliv   0.10 | blocked 23.6% | idle  1.2% | ent 0.744
  upd  254 | return    0.000 | deliv   0.00 | blocked 22.2% | idle  1.2% | ent 0.687
  upd  255 | return    0.100 | deliv   0.10 | blocked 20.3% | idle  1.0% | ent 0.659
  upd  256 | return    0.100 | deliv   0.10 | blocked 17.4% | idle  1.1% | ent 0.620
  upd  257 | return    0.000 | deliv   0.00 | blocked 19.5% | idle  1.2% | ent 0.655
  upd  258 | return    0.000 | deliv   0.00 | blocked 15.0% | idle  1.2% | ent 0.586
  upd  259 | return    0.000 | deliv   0.00 | blocked 16.9% | idle  1.2% | ent 0.592
  upd  260 | return    0.000 | deliv   0.00 | blocked 16.1% | idle  1.2% | ent 0.579
  upd  261 | return    0.000 | deliv   0.00 | blocked 15.9% | idle  1.1% | ent 0.594
  upd  262 | return    0.200 | deliv   0.20 | blocked 16.7% | idle  1.4% | ent 0.581
  upd  263 | return    0.100 | deliv   0.10 | blocked 15.4% | idle  1.0% | ent 0.509
